min_len_km,min_sup,x_pct,rank,support,support_taxis,length_km,n_cells,subroute
1,5000,0.30969,12,8661,418,2.905,9,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08fffff>8939220f083ffff>8939220f097ffff
1,5000,0.30969,13,8640,434,2.516,8,8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff
1,5000,0.30969,14,8409,432,1.793,6,8939220f583ffff>8939220f597ffff>8939220e64bffff>8939220e64fffff>8939220e67bffff>8939220e663ffff
1,5000,0.30969,15,8264,407,1.09,4,8939220f02fffff>8939220f027ffff>8939220f023ffff>8939220f02fffff
1,5000,0.30969,16,8124,425,1.802,6,8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff>8939220f027ffff
1,5000,0.30969,17,8113,389,2.895,9,8939220a973ffff>8939220a977ffff>8939220a93bffff>8939220a92bffff>8939220a923ffff>8939220a927ffff>8939220f453ffff>8939220f457ffff>8939220f447ffff
1,5000,0.30969,18,8100,438,1.098,4,8939220f407ffff>8939220f417ffff>8939220f4bbffff>8939220f417ffff
1,5000,0.30969,19,8088,425,1.079,4,8939220f02bffff>8939220f02fffff>8939220f02bffff>8939220f067ffff
1,5000,0.30969,20,8086,424,5.037,15,8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff>8939220f527ffff>8939220e253ffff
1,5000,0.30969,21,8045,434,5.134,15,8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f257ffff>8939220f247ffff>8939220f27bffff>8939220f26bffff>8939220d4d3ffff
1,5000,0.30969,22,7995,428,1.095,4,8939220f083ffff>8939220f097ffff>8939220f55bffff>8939220f553ffff
1,5000,0.30969,23,7966,419,1.09,4,8939220c683ffff>8939220c69bffff>8939220f167ffff>8939220f12bffff
1,5000,0.30969,24,7964,412,1.444,5,8939220f02fffff>8939220f027ffff>8939220f153ffff>8939220f15bffff>8939220f143ffff
1,5000,0.30969,25,7963,429,2.164,7,8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff>8939220f19bffff>8939220f18bffff>8939220f18fffff
1,5000,0.30969,26,7952,430,2.161,7,8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff
1,5000,0.30969,27,7942,419,1.082,4,8939220f143ffff>8939220f15bffff>8939220f027ffff>8939220f023ffff
1,5000,0.30969,28,7839,424,1.82,6,8939220f56fffff>8939220f1d3ffff>8939220f1dbffff>8939220f037ffff>8939220f027ffff>8939220f023ffff
1,5000,0.30969,29,7807,434,2.18,7,8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff>8939220e26bffff>8939220c4d3ffff>8939220e26fffff
1,5000,0.30969,30,7802,422,1.823,6,8939220f027ffff>8939220f1cbffff>8939220f1cfffff>8939220f1c3ffff>8939220f1cbffff>8939220f1dbffff
1,5000,0.30969,31,7782,416,3.273,10,8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff
1,5000,0.30969,32,7776,409,1.823,6,8939220f007ffff>8939220f00fffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff
1,5000,0.30969,33,7725,431,1.087,4,8939220f1dbffff>8939220f037ffff>8939220f023ffff>8939220f03bffff
1,5000,0.30969,34,7721,433,1.098,4,8939220f1dbffff>8939220f037ffff>8939220f023ffff>8939220f02fffff
1,5000,0.30969,35,7718,419,2.542,8,8939220f147ffff>8939220f157ffff>8939220f10bffff>8939220f103ffff>8939220f117ffff>8939220f1bbffff>8939220f1b3ffff>8939220f1b7ffff
1,5000,0.30969,36,7703,413,1.447,5,8939220f383ffff>8939220f393ffff>8939220f067ffff>8939220f02bffff>8939220f02fffff
1,5000,0.30969,37,7680,425,1.804,6,8939220f027ffff>8939220f023ffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff
1,5000,0.30969,38,7648,410,2.162,7,8939220f41bffff>8939220f403ffff>8939220f40fffff>8939220f43bffff>8939220f423ffff>8939220f42bffff>8939220f42fffff
1,5000,0.30969,39,7638,368,1.812,6,8939220e24bffff>8939220f197ffff>8939220f193ffff>8939220f19bffff>8939220f567ffff>8939220f56fffff
1,5000,0.30969,40,7595,431,2.895,9,8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff
1,5000,0.30969,41,7544,389,1.463,5,8939220f19bffff>8939220f567ffff>8939220f56fffff>8939220f1d3ffff>8939220f1dbffff
1,5000,0.30969,42,7527,417,2.199,7,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08fffff>8939220f083ffff>8939220f097ffff>8939220f083ffff
1,5000,0.30969,43,7512,398,1.45,5,8939220e247ffff>8939220e243ffff>8939220e253ffff>8939220f527ffff>8939220f537ffff
1,5000,0.30969,44,7508,426,1.461,5,8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f0a7ffff
1,5000,0.30969,45,7493,428,1.087,4,8939220f097ffff>8939220f083ffff>8939220f08bffff>8939220f0d7ffff
1,5000,0.30969,46,7457,429,1.095,4,8939220f18fffff>8939220f113ffff>8939220f11bffff>8939220f157ffff
1,5000,0.30969,47,7451,408,2.173,7,8939220f44fffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff
1,5000,0.30969,48,7436,412,2.18,7,8939220f027ffff>8939220f1cbffff>8939220f1cfffff>8939220f1c3ffff>8939220f1c7ffff>8939220f1d7ffff>8939220f19bffff
1,5000,0.30969,49,7386,415,2.172,7,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff
1,5000,0.30969,50,7380,417,4.725,14,8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff>8939220e26bffff>8939220c4d3ffff>8939220c4dbffff>8939220f137ffff>8939220f123ffff>8939220f12fffff>8939220f12bffff>8939220c693ffff>8939220f167ffff>8939220f12bffff
1,5000,0.30969,51,7360,390,16.366,46,8939220e257ffff>8939220e2cfffff>8939220e21bffff>8939220e2c7ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,5000,0.30969,52,7346,429,4.02,12,8939220f083ffff>8939220f097ffff>8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f43bffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff
1,5000,0.30969,53,7325,430,1.815,6,8939220e2b7ffff>8939220e04fffff>8939220e07bffff>8939220e047ffff>8939220e073ffff>8939220e00fffff
1,5000,0.30969,54,7318,412,4.683,14,8939220e253ffff>8939220f527ffff>8939220f523ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff>8939220f417ffff
1,5000,0.30969,55,7276,432,1.101,4,8939220f5cfffff>8939220f5c3ffff>8939220f5d7ffff>89392201b6fffff
1,5000,0.30969,56,7275,276,4.741,14,8939220f167ffff>8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
1,5000,0.30969,57,7272,406,1.815,6,8939220f6b3ffff>8939220f44fffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff
1,5000,0.30969,58,7227,394,1.09,4,8939220e2d3ffff>8939220f5a7ffff>8939220f5afffff>8939220f537ffff
1,5000,0.30969,59,7225,390,1.447,5,8939220f477ffff>8939220f473ffff>8939220f477ffff>8939220f43bffff>8939220f407ffff
1,5000,0.30969,60,7212,387,1.447,5,8939220f413ffff>8939220f41bffff>8939220f403ffff>8939220f40fffff>8939220f43bffff
1,5000,0.30969,61,7210,431,1.082,4,8939220f467ffff>8939220f477ffff>8939220f473ffff>8939220f477ffff
1,5000,0.30969,62,7188,421,2.886,9,8939220f423ffff>8939220f42bffff>8939220f42fffff>8939220f55bffff>8939220f543ffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff
1,5000,0.30969,63,7178,341,4.725,14,8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff>8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e253ffff>8939220f527ffff
1,5000,0.30969,64,7168,420,1.826,6,8939220f1cfffff>8939220f1c3ffff>8939220f1c7ffff>8939220f1d7ffff>8939220f19bffff>8939220f18bffff
1,5000,0.30969,65,7104,385,2.54,8,8939220f397ffff>8939220f15bffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff
1,5000,0.30969,66,7103,431,1.82,6,8939220c4d3ffff>8939220e26fffff>8939220c49bffff>8939220c493ffff>8939220c483ffff>8939220c497ffff
1,5000,0.30969,67,7090,428,1.807,6,8939220f543ffff>8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f43bffff>8939220f407ffff
1,5000,0.30969,68,7020,274,5.09,15,8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff>8939220e24fffff>8939220e247ffff>8939220e243ffff
1,5000,0.30969,69,7011,394,4.337,13,8939220f6b3ffff>8939220f6b7ffff>8939220f46bffff>8939220f0d3ffff>8939220f0d7ffff>8939220f08bffff>8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff
1,5000,0.30969,70,7011,420,1.445,5,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f15bffff
1,5000,0.30969,71,6990,414,2.172,7,8939220e27bffff>8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e253ffff>8939220f527ffff>8939220f537ffff
1,5000,0.30969,72,6979,433,1.079,4,8939220e64fffff>8939220e67bffff>8939220e663ffff>8939220e66bffff
1,5000,0.30969,73,6970,401,1.098,4,8939220f5a7ffff>8939220f5afffff>8939220f537ffff>8939220f523ffff
1,5000,0.30969,74,6960,433,2.529,8,8939220f083ffff>8939220f087ffff>8939220f08fffff>8939220f0bbffff>8939220f0a3ffff>8939220f0afffff>8939220f1dbffff>8939220f1cbffff
1,5000,0.30969,75,6942,409,5.121,15,8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff
1,5000,0.30969,76,6926,410,2.177,7,8939220f143ffff>8939220f147ffff>8939220f157ffff>8939220f10bffff>8939220f103ffff>8939220f117ffff>8939220f1bbffff
1,5000,0.30969,77,6913,433,7.657,22,8939220f58bffff>8939220f583ffff>8939220f593ffff>89392201b2fffff>89392201b23ffff>89392201b37ffff>89392201b33ffff>89392201bafffff>89392201ba7ffff>89392201bb7ffff>8939220196bffff>8939220197bffff>89392201973ffff>8939220190fffff>89392201903ffff>89392201907ffff>89392201917ffff>893922019bbffff>893922019b3ffff>89392200a4bffff>89392200a4fffff>89392200a43ffff
1,5000,0.30969,78,6913,420,4.337,13,8939220f6d3ffff>8939220f6d7ffff>8939220f68bffff>8939220f613ffff>8939220f68fffff>8939220f617ffff>8939220f6abffff>8939220f6afffff>8939220f0dbffff>8939220f0cbffff>8939220f0cfffff>8939220f057ffff>8939220f00bffff
1,5000,0.30969,79,6907,423,1.815,6,8939220f157ffff>8939220f147ffff>8939220f10bffff>8939220f10fffff>8939220f177ffff>8939220f12bffff
1,5000,0.30969,80,6893,415,1.093,4,8939220f403ffff>8939220f40fffff>8939220f43bffff>8939220f407ffff
1,5000,0.30969,81,6891,428,2.905,9,8939220f083ffff>8939220f08fffff>8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff
1,5000,0.30969,82,6883,433,1.439,5,8939220f56fffff>8939220f19bffff>8939220f18bffff>8939220f18fffff>8939220f1bbffff
1,5000,0.30969,83,6870,408,4.007,12,8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff
1,5000,0.30969,84,6860,426,6.116,18,8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e257ffff>8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff
1,5000,0.30969,85,6851,421,5.048,15,8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff
1,5000,0.30969,86,6831,430,3.66,11,8939220f447ffff>8939220f47bffff>8939220f6b7ffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f623ffff>8939220f637ffff>8939220f627ffff>8939220f05bffff
1,5000,0.30969,87,6818,424,1.09,4,8939220f0bbffff>8939220f0abffff>8939220f017ffff>8939220f003ffff
1,5000,0.30969,88,6818,386,1.082,4,8939220c68fffff>8939220c6bbffff>8939220c68fffff>8939220c683ffff
1,5000,0.30969,89,6816,409,5.08,15,8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f523ffff>8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff
1,5000,0.30969,90,6800,427,2.18,7,8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f39bffff>8939220f3d7ffff>8939220f06fffff>8939220f3d3ffff
1,5000,0.30969,91,6785,432,3.632,11,8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff>8939220e26bffff>8939220c4d3ffff>8939220c4dbffff>8939220f137ffff>8939220f123ffff>8939220f127ffff>8939220f12fffff
1,5000,0.30969,92,6785,424,1.093,4,8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1cbffff
1,5000,0.30969,93,6760,405,3.998,12,8939220f027ffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f523ffff>8939220f537ffff
1,5000,0.30969,94,6745,429,1.818,6,8939220f0bbffff>8939220f0a3ffff>8939220f0afffff>8939220f1dbffff>8939220f1cbffff>8939220f153ffff
1,5000,0.30969,95,6734,433,5.14,15,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff
1,5000,0.30969,96,6683,413,2.169,7,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff>8939220f3b3ffff>8939220f3bbffff
1,5000,0.30969,97,6669,420,2.897,9,8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff
1,5000,0.30969,98,6658,415,3.273,10,8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f55bffff>8939220f543ffff>8939220f553ffff
1,5000,0.30969,99,6657,429,4.761,14,8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f43bffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff
1,5000,0.30969,100,6642,421,1.09,4,8939220f1cbffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff
3,5000,0.30969,1,8948,425,4.352,13,8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f397ffff>8939220f387ffff>8939220f3b3ffff>8939220f3a3ffff>8939220f3a7ffff>8939220c6d3ffff>8939220f16fffff>8939220c69bffff>8939220c68bffff>8939220c683ffff
3,5000,0.30969,2,8725,285,5.101,15,8939220f167ffff>8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c693ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
3,5000,0.30969,3,8086,424,5.037,15,8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff>8939220f527ffff>8939220e253ffff
3,5000,0.30969,4,8045,434,5.134,15,8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f257ffff>8939220f247ffff>8939220f27bffff>8939220f26bffff>8939220d4d3ffff
3,5000,0.30969,5,7782,416,3.273,10,8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff
3,5000,0.30969,6,7380,417,4.725,14,8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff>8939220e26bffff>8939220c4d3ffff>8939220c4dbffff>8939220f137ffff>8939220f123ffff>8939220f12fffff>8939220f12bffff>8939220c693ffff>8939220f167ffff>8939220f12bffff
3,5000,0.30969,7,7360,390,16.366,46,8939220e257ffff>8939220e2cfffff>8939220e21bffff>8939220e2c7ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,5000,0.30969,8,7346,429,4.02,12,8939220f083ffff>8939220f097ffff>8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f43bffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff
3,5000,0.30969,9,7318,412,4.683,14,8939220e253ffff>8939220f527ffff>8939220f523ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff>8939220f417ffff
3,5000,0.30969,10,7275,276,4.741,14,8939220f167ffff>8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
3,5000,0.30969,11,7178,341,4.725,14,8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff>8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e253ffff>8939220f527ffff
3,5000,0.30969,12,7020,274,5.09,15,8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff>8939220e24fffff>8939220e247ffff>8939220e243ffff
3,5000,0.30969,13,7011,394,4.337,13,8939220f6b3ffff>8939220f6b7ffff>8939220f46bffff>8939220f0d3ffff>8939220f0d7ffff>8939220f08bffff>8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff
3,5000,0.30969,14,6942,409,5.121,15,8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff
3,5000,0.30969,15,6913,433,7.657,22,8939220f58bffff>8939220f583ffff>8939220f593ffff>89392201b2fffff>89392201b23ffff>89392201b37ffff>89392201b33ffff>89392201bafffff>89392201ba7ffff>89392201bb7ffff>8939220196bffff>8939220197bffff>89392201973ffff>8939220190fffff>89392201903ffff>89392201907ffff>89392201917ffff>893922019bbffff>893922019b3ffff>89392200a4bffff>89392200a4fffff>89392200a43ffff
3,5000,0.30969,16,6913,420,4.337,13,8939220f6d3ffff>8939220f6d7ffff>8939220f68bffff>8939220f613ffff>8939220f68fffff>8939220f617ffff>8939220f6abffff>8939220f6afffff>8939220f0dbffff>8939220f0cbffff>8939220f0cfffff>8939220f057ffff>8939220f00bffff
3,5000,0.30969,17,6870,408,4.007,12,8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff
3,5000,0.30969,18,6860,426,6.116,18,8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e257ffff>8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff
3,5000,0.30969,19,6851,421,5.048,15,8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff
3,5000,0.30969,20,6831,430,3.66,11,8939220f447ffff>8939220f47bffff>8939220f6b7ffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f623ffff>8939220f637ffff>8939220f627ffff>8939220f05bffff
3,5000,0.30969,21,6816,409,5.08,15,8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f523ffff>8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff
3,5000,0.30969,22,6785,432,3.632,11,8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff>8939220e26bffff>8939220c4d3ffff>8939220c4dbffff>8939220f137ffff>8939220f123ffff>8939220f127ffff>8939220f12fffff
3,5000,0.30969,23,6760,405,3.998,12,8939220f027ffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f523ffff>8939220f537ffff
3,5000,0.30969,24,6734,433,5.14,15,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff
