min_len_km,rank,support,length_km,n_cells,route
1,27,14864,1.093,4,8939220f44fffff>8939220f47bffff>8939220f447ffff>8939220f457ffff
1,28,14520,1.429,5,8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff>8939220f69bffff
1,29,13801,1.087,4,8939220f523ffff>8939220f537ffff>8939220e2cbffff>8939220e2c3ffff
1,30,13762,3.614,11,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff
1,31,13475,1.45,5,8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220f4cbffff>8939220a937ffff
1,32,13461,2.543,8,8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff>8939220f0cbffff>8939220f0dbffff
1,33,13314,1.447,5,8939220f1bbffff>8939220f1b3ffff>8939220f1b7ffff>8939220e24fffff>8939220e27bffff
1,34,13126,1.09,4,8939220e2d7ffff>8939220e29bffff>8939220e66fffff>8939220e663ffff
1,35,12909,1.082,4,8939220f68fffff>8939220f617ffff>8939220f6abffff>8939220f6afffff
1,36,12888,1.082,4,8939220e24fffff>8939220e27bffff>8939220e247ffff>8939220e243ffff
1,37,12654,1.093,4,8939220f4cbffff>8939220f453ffff>8939220f457ffff>8939220f447ffff
1,38,12527,2.54,8,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08fffff>8939220f083ffff
1,39,11232,2.173,7,8939220a93bffff>8939220a92bffff>8939220a923ffff>8939220a927ffff>8939220f453ffff>8939220f457ffff>8939220f447ffff
1,40,11205,2.565,8,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a2fffff>89392201a23ffff
1,41,11045,1.45,5,8939220a973ffff>8939220a963ffff>8939220a96fffff>8939220f69bffff>8939220f683ffff
1,42,10653,1.437,5,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f007ffff
1,43,10153,4.736,14,8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c693ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
1,44,9926,2.554,8,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a77ffff>89392201a73ffff
1,45,9843,1.44,5,8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220a927ffff>8939220a923ffff
1,46,9444,1.071,4,8939220e64bffff>8939220e64fffff>8939220e67bffff>8939220e663ffff
1,47,9311,1.098,4,8939220f19bffff>8939220f567ffff>8939220f52bffff>8939220f523ffff
1,48,9186,5.09,15,8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e2cfffff>8939220e21bffff>8939220e2c7ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff
1,49,8654,1.808,6,8939220f68bffff>8939220f6d7ffff>8939220f6d3ffff>8939220a96bffff>8939220abb7ffff>8939220a94fffff
1,50,8637,4.376,13,8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
1,51,8634,2.522,8,8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff>8939220f69bffff>8939220a96fffff>8939220a963ffff>8939220a973ffff
1,52,8566,1.088,4,89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff
1,53,8539,1.082,4,8939220a96bffff>8939220f6d3ffff>8939220f6d7ffff>8939220f68bffff
1,54,8527,1.093,4,8939220f57bffff>8939220f547ffff>8939220f543ffff>8939220f54fffff
1,55,8113,2.895,9,8939220a973ffff>8939220a977ffff>8939220a93bffff>8939220a92bffff>8939220a923ffff>8939220a927ffff>8939220f453ffff>8939220f457ffff>8939220f447ffff
1,56,7889,1.439,5,8939220f0c7ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
1,57,7456,1.804,6,89392201b63ffff>89392201b7bffff>89392201b73ffff>89392201b47ffff>89392201b57ffff>89392201b53ffff
1,58,7419,1.461,5,8939220f6b7ffff>8939220f44fffff>8939220f47bffff>8939220f447ffff>8939220f457ffff
1,59,6785,3.98,12,8939220f0dbffff>8939220f6afffff>8939220f6abffff>8939220f617ffff>8939220f68fffff>8939220f613ffff>8939220f68bffff>8939220f6d7ffff>8939220f6d3ffff>8939220a96bffff>8939220abb7ffff>8939220a94fffff
1,60,6747,1.445,5,89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff>8939220a997ffff
1,61,6462,1.093,4,8939220a99bffff>8939220a98bffff>8939220a98fffff>8939220a917ffff
1,62,6297,1.804,6,8939220f087ffff>8939220f54bffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff
1,63,6294,3.622,11,8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff>8939220f0c7ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
1,64,6245,1.079,4,8939220f083ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
1,65,5955,1.082,4,8939220f1bbffff>8939220f1a3ffff>8939220f1b3ffff>8939220f1b7ffff
1,66,5943,2.167,7,8939220ad2fffff>8939220a993ffff>8939220a997ffff>89392201a4bffff>89392201a43ffff>89392201a47ffff>89392201a0bffff
1,67,5789,1.447,5,8939220c483ffff>8939220c497ffff>8939220e34bffff>8939220e35bffff>8939220e343ffff
1,68,5672,2.903,9,89392201b5bffff>89392201b53ffff>89392201b57ffff>89392201b47ffff>89392201b73ffff>89392201b7bffff>89392201b63ffff>89392201b6fffff>89392201b67ffff
1,69,5628,1.804,6,8939220e2d7ffff>8939220e29bffff>8939220e66fffff>8939220e663ffff>8939220e67bffff>8939220e64fffff
1,70,5535,2.533,8,8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220f4cbffff>8939220a937ffff>8939220a9afffff>8939220a9abffff>8939220a917ffff
1,71,5479,2.17,7,89392201b63ffff>89392201b7bffff>89392201b73ffff>89392201b47ffff>89392201b57ffff>89392201b53ffff>89392201b5bffff
1,72,5403,1.082,4,8939220e343ffff>8939220e35bffff>8939220e34bffff>8939220c497ffff
1,73,5401,2.542,8,8939220f167ffff>8939220f12bffff>8939220f177ffff>8939220f10fffff>8939220f10bffff>8939220f103ffff>8939220f117ffff>8939220f1bbffff
1,74,5292,1.101,4,8939220e26fffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
1,75,5237,2.196,7,8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f193ffff
1,76,5226,1.804,6,8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f42bffff>8939220f477ffff>8939220f473ffff
1,77,5195,2.919,9,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a77ffff>89392201a73ffff>89392201a0fffff
1,78,5153,5.856,17,8939220182bffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
1,79,5116,1.09,4,8939220f1bbffff>8939220f1b3ffff>8939220f1b7ffff>8939220f1a7ffff
1,80,5106,1.444,5,8939220f167ffff>8939220f12bffff>8939220f177ffff>8939220f163ffff>8939220f17bffff
1,81,5067,2.167,7,89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff>8939220a997ffff>8939220a993ffff>8939220ad2fffff
1,82,5030,1.455,5,8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f623ffff>8939220f62bffff
1,83,4846,2.545,8,8939220f167ffff>8939220f12bffff>8939220f177ffff>8939220f10fffff>8939220f10bffff>8939220f103ffff>8939220f117ffff>8939220f18fffff
1,84,4723,3.244,10,8939220f43bffff>8939220f423ffff>8939220f42bffff>8939220f42fffff>8939220f55bffff>8939220f543ffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff
1,85,4480,3.257,10,8939220f15bffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
1,86,4380,1.807,6,8939220f0dbffff>8939220f6afffff>8939220f6abffff>8939220f617ffff>8939220f68fffff>8939220f683ffff
1,87,4278,5.113,15,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201ac7ffff>89392201ac3ffff>89392201acbffff>8939220ad37ffff
1,88,4249,2.173,7,8939220f68bffff>8939220f6d7ffff>8939220f6d3ffff>8939220a96bffff>8939220abb7ffff>8939220a94fffff>8939220a947ffff
1,89,4161,4.345,13,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46fffff>8939220f467ffff>8939220f477ffff>8939220f473ffff
1,90,3900,1.09,4,8939220f457ffff>8939220f447ffff>8939220f44fffff>8939220f47bffff
1,91,3896,1.805,6,8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220a927ffff>8939220a923ffff>8939220a92bffff
1,92,3751,1.812,6,8939220f523ffff>8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f5bbffff
1,93,3688,2.542,8,8939220e2abffff>8939220e2afffff>8939220e237ffff>8939220e3cbffff>8939220e353ffff>8939220e343ffff>8939220e35bffff>8939220e34bffff
1,94,3596,1.455,5,8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f19bffff
1,95,3515,1.455,5,8939220f467ffff>8939220f477ffff>8939220f463ffff>8939220f46bffff>8939220f6b7ffff
1,96,3473,2.159,7,8939220f58bffff>8939220f583ffff>8939220f597ffff>8939220e64bffff>8939220e64fffff>8939220e67bffff>8939220e663ffff
1,97,3428,1.45,5,8939220e64fffff>8939220e67bffff>8939220e663ffff>8939220e66fffff>8939220e2d7ffff
1,98,3404,3.298,10,8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f2c7ffff
1,99,3383,2.172,7,89392201b6fffff>89392201b63ffff>89392201b7bffff>89392201b73ffff>89392201b47ffff>89392201b57ffff>89392201b53ffff
1,100,3346,1.101,4,8939220f407ffff>8939220f417ffff>8939220f4bbffff>8939220f487ffff
3,1,13762,3.614,11,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff
3,2,10153,4.736,14,8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c693ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
3,3,9186,5.09,15,8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e2cfffff>8939220e21bffff>8939220e2c7ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff
3,4,8637,4.376,13,8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
3,5,6785,3.98,12,8939220f0dbffff>8939220f6afffff>8939220f6abffff>8939220f617ffff>8939220f68fffff>8939220f613ffff>8939220f68bffff>8939220f6d7ffff>8939220f6d3ffff>8939220a96bffff>8939220abb7ffff>8939220a94fffff
3,6,6294,3.622,11,8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff>8939220f0c7ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
3,7,5153,5.856,17,8939220182bffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,8,4723,3.244,10,8939220f43bffff>8939220f423ffff>8939220f42bffff>8939220f42fffff>8939220f55bffff>8939220f543ffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff
3,9,4480,3.257,10,8939220f15bffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
3,10,4278,5.113,15,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201ac7ffff>89392201ac3ffff>89392201acbffff>8939220ad37ffff
3,11,4161,4.345,13,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46fffff>8939220f467ffff>8939220f477ffff>8939220f473ffff
3,12,3404,3.298,10,8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f2c7ffff
3,13,2831,12.364,35,8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,14,2805,3.278,10,8939220e213ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff
3,15,2744,4.364,13,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a77ffff>89392201a73ffff>89392201a0fffff>89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff
3,16,2254,3.246,10,8939220f153ffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
3,17,1832,11.263,32,8939220e637ffff>8939220e0dbffff>8939220e6afffff>8939220e6a3ffff>8939220e6bbffff>8939220e687ffff>8939220e683ffff>8939220e693ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,18,1807,11.707,33,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff>89392201847ffff>89392201873ffff>8939220180fffff>89392201877ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,19,1760,4.034,12,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a83ffff
3,20,1728,6.241,18,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff>89392201e03ffff>89392201e13ffff>89392201e8fffff
3,21,1543,3.254,10,8939220f1cbffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
3,22,1391,4.009,12,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a77ffff>89392201a73ffff>89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff
3,23,1339,8.056,23,8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f257ffff>8939220f247ffff>8939220f27bffff>8939220f26bffff>8939220d4d3ffff>8939220d4dbffff>89392208937ffff>89392208927ffff>8939220892fffff>8939220d693ffff>8939220d69bffff>8939220d6d7ffff>8939220d6c3ffff>8939220d6cbffff
3,24,1331,4.751,14,8939220c40bffff>8939220c403ffff>8939220c40fffff>8939220c43bffff>8939220c42bffff>8939220c093ffff>8939220c097ffff>8939220c083ffff>8939220c08fffff>8939220c013ffff>8939220c003ffff>8939220c00fffff>8939220c077ffff>8939220c067ffff
3,25,1304,5.862,17,8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f257ffff>8939220f247ffff>8939220f27bffff>8939220f26bffff>8939220d4d3ffff>8939220f26fffff>8939220f267ffff>8939220f22bffff
3,26,1212,6.601,19,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff>89392201e03ffff>89392201e13ffff>89392201e17ffff>89392201e8fffff
3,27,1200,3.655,11,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a2fffff>89392201a23ffff>89392201a27ffff>89392201a37ffff>89392201bdbffff
3,28,1160,7.677,22,89392201843ffff>8939220184fffff>89392201847ffff>89392201873ffff>8939220180fffff>89392201877ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,29,1053,3.257,10,8939220f037ffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
3,30,995,4.73,14,8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e2cfffff>8939220e2c7ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff
3,31,939,12.067,34,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff>89392201843ffff>89392201847ffff>89392201873ffff>8939220180fffff>89392201877ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,32,907,3.254,10,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0dbffff
3,33,905,3.306,10,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201aabffff>89392201aa3ffff
3,34,888,13.092,37,8939220f58bffff>8939220f583ffff>8939220f593ffff>89392201b2fffff>89392201b23ffff>89392201b37ffff>89392201b33ffff>89392201bafffff>89392201ba7ffff>89392201bb7ffff>8939220196bffff>8939220197bffff>89392201963ffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,35,812,6.953,20,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff>89392201e73ffff>89392201e47ffff>89392201e43ffff>89392201e4bffff>89392201e5bffff
3,36,805,6.241,18,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff>89392201e03ffff>89392201e17ffff>89392201e8fffff
3,37,788,3.99,12,8939220d407ffff>8939220d43bffff>8939220d477ffff>8939220d42bffff>8939220d467ffff>8939220d09bffff>8939220d083ffff>8939220d08bffff>8939220d08fffff>8939220d013ffff>8939220d017ffff>8939220d003ffff
3,38,779,5.114,15,8939220a943ffff>8939220a957ffff>8939220a9cfffff>8939220a9c3ffff>8939220a9d7ffff>8939220a9d3ffff>8939220ad6fffff>8939220ad67ffff>8939220ad77ffff>8939220ad3bffff>8939220ad07ffff>8939220adabffff>8939220adbbffff>8939220ad87ffff>8939220adb3ffff
3,39,779,4.748,14,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201ac7ffff>89392201ac3ffff>89392201adbffff
3,40,727,8.732,25,8939220192bffff>89392201967ffff>89392201977ffff>8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff>8939220037bffff
3,41,718,3.614,11,8939220f143ffff>8939220f15bffff>8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
3,42,717,4.381,13,8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c693ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
