min_len_km,rank,ss_estimate,ss_lb,ss_ub,cms_estimate,exact_support,length_km,n_cells,subroute
1,35,64694,57695,64694,65961.0,,1.093,4,8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff
1,36,63656,56657,63656,65041.0,,1.082,4,8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
1,37,63481,56482,63481,64695.0,,1.079,4,8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff
1,38,63238,56239,63238,64295.0,,1.428,5,8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff
1,39,63197,56198,63197,64159.0,,1.786,6,8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff
1,40,63192,56193,63192,64446.0,,1.796,6,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff
1,41,63163,56164,63163,64261.0,,2.143,7,8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff
1,42,63152,56153,63152,64347.0,,2.153,7,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff
1,43,63118,56119,63118,64359.0,,2.511,8,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff
1,44,63068,56069,63068,64008.0,,2.5,8,8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
1,45,63025,56026,63025,63954.0,,2.868,9,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
1,46,62616,55617,62616,64359.0,,1.461,5,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff
1,47,61951,54952,61951,62994.0,,1.09,4,8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff
1,48,61460,54461,61460,62469.0,,1.098,4,89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,49,61011,54012,61011,62353.0,,1.095,4,8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff
1,50,59861,52862,59861,60839.0,,1.101,4,89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
1,51,59855,52856,59855,61250.0,,1.098,4,89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
1,52,59820,52821,59820,62120.0,,1.466,5,89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
1,53,59791,52792,59791,61285.0,,1.466,5,89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,54,59757,52758,59757,61065.0,,1.834,6,89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,55,59713,52714,59713,61136.0,,1.087,4,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
1,56,59711,52712,59711,60628.0,,1.09,4,89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
1,57,59703,52704,59703,61543.0,,1.455,5,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
1,58,59683,52684,59683,61214.0,,1.101,4,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
1,59,59663,52664,59663,61305.0,,1.098,4,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff
1,60,59647,52648,59647,60728.0,,1.466,5,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
1,61,59581,52582,59581,60998.0,,1.439,5,8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff
1,62,59532,52533,59532,60793.0,,2.865,9,8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
1,63,59492,52493,59492,60763.0,,3.233,10,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
1,64,59449,52450,59449,60587.0,,1.101,4,89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
1,65,59443,52444,59443,60727.0,,1.458,5,89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
1,66,59435,52436,59435,60814.0,,1.823,6,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
1,67,59349,52350,59349,60848.0,,1.104,4,89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
1,68,59329,52330,59329,60400.0,,1.469,5,89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
1,69,59323,52324,59323,60633.0,,1.826,6,89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
1,70,59316,52317,59316,60633.0,,2.191,7,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
1,71,59291,52292,59291,60307.0,,1.469,5,89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
1,72,59273,52274,59273,60606.0,,1.834,6,89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
1,73,59267,52268,59267,60385.0,,2.191,7,89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
1,74,59261,52262,59261,60337.0,,2.556,8,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
1,75,59251,52252,59251,60398.0,,1.834,6,89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
1,76,59233,52234,59233,60446.0,,2.199,7,89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
1,77,59227,52228,59227,60513.0,,2.556,8,89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
1,78,59221,52222,59221,60301.0,,2.921,9,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
1,79,59189,52190,59189,60130.0,,2.202,7,89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,80,59171,52172,59171,60318.0,,2.567,8,89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,81,59165,52166,59165,60372.0,,2.924,9,89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,82,59159,52160,59159,60717.0,,3.289,10,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,83,58871,51872,58871,60017.0,,1.09,4,893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
1,84,58864,51865,58864,60355.0,,1.455,5,893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
1,85,58863,51864,58863,60331.0,,1.101,4,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
1,86,58861,51862,58861,59991.0,,1.458,5,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
1,87,58858,51859,58858,59908.0,,1.101,4,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
1,88,58854,51855,58854,60068.0,,1.823,6,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
1,89,58853,51854,58853,60241.0,,1.823,6,893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
1,90,58852,51853,58852,60006.0,,1.466,5,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
1,91,58850,51851,58850,60054.0,,1.823,6,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
1,92,58843,51844,58843,60335.0,,2.188,7,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
1,93,58843,51844,58843,59888.0,,2.191,7,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
1,94,58838,51839,58838,59834.0,,1.469,5,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
1,95,58833,51834,58833,60232.0,,1.834,6,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
1,96,58832,51833,58832,60195.0,,2.556,8,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
1,97,58831,51832,58831,60188.0,,2.191,7,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
1,98,58824,51825,58824,60181.0,,2.556,8,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
1,99,58813,51814,58813,60248.0,,2.924,9,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
1,100,58802,51803,58802,59983.0,,1.834,6,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
3,1,59492,54572,59492,60763.0,,3.233,10,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
3,2,59159,54239,59159,60717.0,,3.289,10,89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,3,58779,53859,58779,59823.0,,3.289,10,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
3,4,58563,53643,58563,59620.0,,3.292,10,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
3,5,58529,53609,58529,60498.0,,3.657,11,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
3,6,58465,53545,58465,59688.0,,3.292,10,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
3,7,58448,53528,58448,59802.0,,3.66,11,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
3,8,58422,53502,58422,60259.0,,3.292,10,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
3,9,58414,53494,58414,59665.0,,4.025,12,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff
3,10,58411,53491,58411,59359.0,,3.657,11,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
3,11,58394,53474,58394,59724.0,,4.025,12,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
3,12,58390,53470,58390,59970.0,,3.289,10,893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
3,13,58382,53462,58382,59584.0,,3.657,11,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
3,14,58371,53451,58371,59499.0,,4.022,12,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
3,15,58361,53441,58361,60092.0,,4.39,13,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff
3,16,58354,53434,58354,59875.0,,4.39,13,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
3,17,58331,53411,58331,59721.0,,3.657,11,893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,18,58324,53404,58324,60311.0,,4.025,12,893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,19,58321,53401,58321,59497.0,,4.755,14,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff
3,20,58313,53393,58313,59756.0,,4.39,13,893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,21,58296,53376,58296,59335.0,,4.758,14,89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,22,58263,53343,58263,59553.0,,5.123,15,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
3,23,43492,38572,43492,44417.0,,3.225,10,8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
3,24,40696,35776,40696,41759.0,,3.59,11,8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
3,25,40174,35254,40174,41921.0,,3.311,10,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff
3,26,33279,28359,33279,34416.0,,3.233,10,8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff
3,27,31464,26544,31464,32901.0,,3.252,10,8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
3,28,31144,26224,31144,32435.0,,3.278,10,89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
3,29,31138,26218,31138,32487.0,,3.646,11,89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
3,30,31128,26208,31128,32657.0,,3.27,10,89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
3,31,31124,26204,31124,32303.0,,3.636,11,89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
3,32,31118,26198,31118,32425.0,,4.003,12,89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
3,33,31103,26183,31103,32254.0,,3.27,10,89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
3,34,31102,26182,31102,32164.0,,3.628,11,89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
3,35,31098,26178,31098,32503.0,,3.993,12,89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
3,36,31092,26172,31092,32200.0,,4.361,13,89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
3,37,31080,26160,31080,32298.0,,3.241,10,8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff
3,38,31078,26158,31078,32770.0,,3.262,10,89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
3,39,31076,26156,31076,32424.0,,3.628,11,89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
3,40,31075,26155,31075,32582.0,,3.609,11,8939220190fffff>8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff
3,41,31075,26155,31075,32166.0,,3.985,12,89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
3,42,31071,26151,31071,32229.0,,4.35,13,89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
3,43,31065,26145,31065,32406.0,,4.718,14,89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
3,44,31045,26125,31045,32297.0,,3.62,11,8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff
3,45,31043,26123,31043,32390.0,,3.985,12,8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff
3,46,31042,26122,31042,32470.0,,4.342,13,8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff
3,47,31038,26118,31038,34187.0,,4.707,14,8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff
3,48,31032,26112,31032,32030.0,,5.075,15,8939220190bffff>89392201957ffff>89392201953ffff>89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff
3,49,31028,26108,31028,32315.0,,4.014,12,89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
3,50,31008,26088,31008,32306.0,,4.371,13,89392201827ffff>89392201823ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff
