bucket,bucket_trips,min_sup,rank,support,length_km,subroute
night,296575,148,11,293,3.996,8939220f477ffff>8939220f463ffff>8939220f46bffff>8939220f0d3ffff>8939220f0d7ffff>8939220f08bffff>8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff
night,296575,148,12,292,3.268,8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff>8939220f0cbffff>8939220f0dbffff>8939220f6afffff>8939220f6a3ffff
night,296575,148,13,289,3.633,8939220f6b3ffff>8939220f6b7ffff>8939220f44fffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f41bffff>8939220f40bffff>8939220f403ffff>8939220f407ffff
night,296575,148,14,288,3.289,8939220f19bffff>8939220f1d7ffff>8939220f1c7ffff>8939220f1c3ffff>8939220f1cfffff>8939220f1c3ffff>8939220f1cbffff>8939220f1dbffff>8939220f037ffff>8939220f023ffff
night,296575,148,15,287,6.87,8939220a957ffff>8939220a947ffff>8939220a973ffff>8939220a963ffff>8939220a96fffff>8939220f69bffff>8939220f683ffff>8939220f687ffff>8939220f6b3ffff>8939220f6b7ffff>8939220f46bffff>8939220f0d3ffff>8939220f0d7ffff>8939220f08bffff>8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff
night,296575,148,16,279,3.262,8939220f02bffff>8939220f02fffff>8939220f027ffff>8939220f153ffff>8939220f1cbffff>8939220f1cfffff>8939220f1c3ffff>8939220f1c7ffff>8939220f1d7ffff>8939220f19bffff
night,296575,148,17,278,3.281,8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff>8939220f1cbffff>8939220f153ffff>8939220f1cfffff>8939220f157ffff>8939220f1cfffff>8939220f1c7ffff
night,296575,148,18,277,3.998,8939220f03bffff>8939220f007ffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff>8939220f44fffff
night,296575,148,19,276,5.101,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff>8939220f3b3ffff>8939220f3bbffff>8939220f317ffff>8939220f307ffff>8939220f33bffff>8939220f377ffff>8939220f363ffff>8939220f373ffff>8939220f37bffff>8939220f347ffff
night,296575,148,20,275,3.287,89392201a2bffff>8939220f493ffff>8939220f483ffff>8939220f48fffff>8939220f417ffff>8939220f403ffff>8939220f41bffff>8939220f40bffff>8939220f457ffff>8939220f447ffff
night,296575,148,21,274,7.603,8939220f02bffff>8939220f02fffff>8939220f02bffff>8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff>8939220f0cbffff>8939220f0dbffff>8939220f6afffff>8939220f6abffff>8939220f617ffff>8939220f68fffff>8939220f613ffff>8939220f68bffff>8939220f6d7ffff>8939220f6d3ffff>8939220a96bffff>8939220abb7ffff>8939220a94fffff
night,296575,148,22,274,3.286,8939220f02bffff>8939220f02fffff>8939220f027ffff>8939220f1cbffff>8939220f153ffff>8939220f1cfffff>8939220f157ffff>8939220f1cfffff>8939220f1c7ffff>8939220f18bffff
night,296575,148,23,274,3.278,8939220c4d3ffff>8939220e26fffff>8939220c49bffff>8939220c493ffff>8939220c483ffff>8939220c497ffff>8939220c487ffff>8939220c4bbffff>8939220c4b3ffff>8939220c4b7ffff
night,296575,148,24,274,3.265,8939220f407ffff>8939220f417ffff>8939220f4bbffff>8939220f417ffff>8939220f4bbffff>8939220f48fffff>8939220f487ffff>8939220f483ffff>8939220f497ffff>8939220f493ffff
night,296575,148,25,273,6.177,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a77ffff>89392201a73ffff>89392201a0fffff>89392201a73ffff>89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff>8939220a997ffff>8939220a993ffff>8939220ad2fffff>8939220ad2bffff
night,296575,148,26,273,3.622,8939220f397ffff>8939220f14bffff>8939220f15bffff>8939220f14bffff>8939220f143ffff>8939220f14fffff>8939220f17bffff>8939220f163ffff>8939220f167ffff>8939220c69bffff>8939220c683ffff
night,296575,148,27,272,5.871,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a83ffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff
night,296575,148,28,272,5.081,8939220f453ffff>8939220f457ffff>8939220f447ffff>8939220f473ffff>8939220f477ffff>8939220f467ffff>8939220f093ffff>8939220f083ffff>8939220f08fffff>8939220f013ffff>8939220f003ffff>8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff
night,296575,148,29,272,4.739,8939220f03bffff>8939220f007ffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0dbffff>8939220f6afffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff
night,296575,148,30,272,3.264,8939220e2abffff>8939220e2afffff>8939220e237ffff>8939220e3cbffff>8939220e353ffff>8939220e343ffff>8939220e35bffff>8939220e34bffff>8939220c497ffff>8939220c483ffff
night,296575,148,31,267,5.454,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0dbffff>8939220f6afffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f623ffff
night,296575,148,32,267,5.108,8939220e213ffff>8939220e28bffff>8939220e283ffff>8939220e293ffff>8939220e62fffff>8939220e627ffff>8939220e053ffff>8939220e0cbffff>8939220e0cfffff>8939220e0c7ffff>8939220e0cfffff>8939220e0c3ffff>8939220e0cbffff>8939220e0dbffff>8939220e637ffff
night,296575,148,33,267,3.995,8939220f023ffff>8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f19bffff>8939220f18bffff
night,296575,148,34,266,11.342,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>89392201843ffff>89392201847ffff>89392201873ffff>8939220180fffff>89392201877ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
night,296575,148,35,264,9.12,8939220f5c7ffff>8939220f58bffff>8939220f583ffff>8939220f593ffff>89392201b2fffff>89392201b23ffff>89392201b37ffff>89392201b33ffff>89392201bafffff>89392201ba7ffff>89392201bb7ffff>8939220196bffff>8939220197bffff>89392201973ffff>8939220190fffff>89392201903ffff>89392201907ffff>89392201917ffff>893922019bbffff>893922019b3ffff>89392200a4bffff>89392200a4fffff>89392200a43ffff>89392200a57ffff>89392200a1bffff>89392200ac7ffff
night,296575,148,36,264,5.403,8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff>8939220f403ffff>8939220f40bffff>8939220f457ffff>8939220f447ffff>8939220f44fffff
night,296575,148,37,264,4.717,8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f397ffff>8939220f387ffff>8939220f3b3ffff>8939220f3a3ffff>8939220f3a7ffff>8939220c6d3ffff>8939220f16fffff>8939220c69bffff>8939220c68bffff>8939220c683ffff>8939220c697ffff
night,296575,148,38,262,6.953,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff>89392201e73ffff>89392201e47ffff>89392201e43ffff>89392201e4bffff>89392201e5bffff
night,296575,148,39,260,3.983,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff>8939220f68fffff
night,296575,148,40,259,4.344,8939220f19bffff>8939220f567ffff>8939220f56fffff>8939220f563ffff>8939220f57bffff>8939220f547ffff>8939220f543ffff>8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f42bffff>8939220f477ffff>8939220f473ffff
night,296575,148,41,258,12.078,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>89392201843ffff>8939220184fffff>89392201847ffff>89392201873ffff>8939220180fffff>8939220183bffff>8939220182bffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
night,296575,148,42,257,6.543,8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f523ffff>8939220f537ffff>8939220e2cbffff>8939220e2c3ffff>8939220e2d7ffff>8939220e29bffff>8939220e66fffff>8939220e663ffff
night,296575,148,43,255,5.472,8939220f03bffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f55bffff>8939220f543ffff>8939220f553ffff>8939220f5cfffff>8939220f5c3ffff>8939220f5d7ffff>89392201b6fffff>89392201b67ffff
night,296575,148,44,255,4.34,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff>8939220f69bffff>8939220f68bffff
night,296575,148,45,254,12.792,8939220f55bffff>8939220f427ffff>8939220f423ffff>8939220f43bffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff>89392201847ffff>89392201873ffff>8939220180fffff>89392201877ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
night,296575,148,46,254,3.979,8939220f027ffff>8939220f153ffff>8939220f15bffff>8939220f143ffff>8939220f147ffff>8939220f157ffff>8939220f10bffff>8939220f103ffff>8939220f117ffff>8939220f1bbffff>8939220f1b3ffff>8939220f1b7ffff
night,296575,148,47,254,3.615,89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff>8939220a997ffff>8939220a993ffff>8939220ad2fffff>8939220ad2bffff>8939220ad77ffff>8939220ad3bffff>8939220ad07ffff
night,296575,148,48,253,3.262,8939220f023ffff>8939220f03bffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f54fffff
night,296575,148,49,252,9.88,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f41bffff>8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a8bffff
night,296575,148,50,252,4.334,8939220f43bffff>8939220f423ffff>8939220f42bffff>8939220f42fffff>8939220f55bffff>8939220f543ffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff>8939220f19bffff>8939220f18bffff>8939220f1c7ffff
night,296575,148,51,251,7.243,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff>8939220f69bffff>8939220a96fffff>8939220a963ffff>8939220a973ffff>8939220a947ffff>8939220a94fffff>8939220a947ffff>8939220a943ffff>8939220a957ffff>8939220a9cfffff
night,296575,148,52,251,4.391,8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f2c7ffff>8939220f21bffff>8939220f203ffff
night,296575,148,53,250,5.078,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46fffff>8939220f467ffff>8939220f477ffff>8939220f473ffff>8939220f447ffff>8939220f457ffff>8939220f41bffff
night,296575,148,54,250,4.009,8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f39bffff>8939220f3d7ffff>8939220f06fffff>8939220f3d3ffff>8939220f06bffff>8939220f07bffff>8939220f047ffff>8939220f043ffff>8939220f053ffff
night,296575,148,55,249,5.473,8939220f03bffff>8939220f007ffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0dbffff>8939220f6afffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f623ffff
night,296575,148,56,249,3.268,8939220f083ffff>8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0dbffff>8939220f6afffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff
night,296575,148,57,248,3.633,8939220f383ffff>8939220f393ffff>8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff>8939220f0c7ffff>8939220f013ffff>8939220f08bffff
night,296575,148,58,247,6.164,8939220a957ffff>8939220a943ffff>8939220a94fffff>8939220abb7ffff>8939220aba7ffff>8939220f6d3ffff>8939220f6d7ffff>8939220f68bffff>8939220f613ffff>8939220f68fffff>8939220f617ffff>8939220f6abffff>8939220f6afffff>8939220f0dbffff>8939220f0cbffff>8939220f0cfffff>8939220f057ffff>8939220f00bffff
night,296575,148,59,247,3.25,8939220ad2fffff>8939220a993ffff>8939220a997ffff>89392201a4bffff>89392201a43ffff>89392201a47ffff>89392201a0bffff>89392201a73ffff>89392201a77ffff>89392201a2bffff
night,296575,148,60,246,4.376,8939220f1b3ffff>8939220f1bbffff>8939220f18fffff>8939220f183ffff>8939220f18bffff>8939220f1c7ffff>8939220f1c3ffff>8939220f1cfffff>8939220f1c3ffff>8939220f1cbffff>8939220f1dbffff>8939220f037ffff>8939220f023ffff
night,296575,148,61,246,4.35,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff>8939220f3b3ffff>8939220f3bbffff>8939220f38fffff>8939220f38bffff>8939220f313ffff>8939220f31bffff>8939220f30bffff>8939220f347ffff
night,296575,148,62,245,3.641,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46fffff>8939220f467ffff>8939220f477ffff>8939220f473ffff>8939220f40bffff
night,296575,148,63,244,3.254,8939220f1b3ffff>8939220f1b7ffff>8939220e24fffff>8939220e27bffff>8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e253ffff>8939220f527ffff>8939220f537ffff
night,296575,148,64,243,6.192,8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff
night,296575,148,65,242,3.666,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201aabffff>89392201a17ffff>89392201a8fffff
night,296575,148,66,242,3.271,8939220ad2fffff>8939220ad2bffff>8939220ad77ffff>8939220ad67ffff>8939220ad6fffff>8939220a9d3ffff>8939220a9d7ffff>8939220a9c3ffff>8939220a9cfffff>8939220a957ffff
night,296575,148,67,241,3.617,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f54fffff
night,296575,148,68,240,12.062,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff>89392201843ffff>89392201847ffff>89392201873ffff>8939220180fffff>8939220183bffff>8939220182bffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
night,296575,148,69,240,5.846,8939220f03bffff>8939220f007ffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff
night,296575,148,70,240,4.335,8939220a973ffff>8939220a977ffff>8939220a93bffff>8939220a92bffff>8939220a923ffff>8939220a927ffff>8939220f453ffff>8939220f457ffff>8939220f447ffff>8939220f473ffff>8939220f477ffff>8939220f467ffff>8939220f093ffff
night,296575,148,71,240,3.965,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff>8939220f143ffff>8939220f14fffff>8939220f17bffff>8939220f163ffff>8939220f167ffff>8939220c69bffff>8939220c683ffff
night,296575,148,72,240,3.638,8939220f083ffff>8939220f097ffff>8939220f087ffff>8939220f54bffff>8939220f0b3ffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff>8939220f19bffff>8939220f18bffff
night,296575,148,73,240,3.249,8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff>8939220f3b3ffff>8939220f3bbffff
night,296575,148,74,239,6.961,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a83ffff>89392201a8bffff>89392201a9bffff>89392201e67ffff>89392201e77ffff>89392201e0fffff>89392201e73ffff>89392201e47ffff>89392201e43ffff>89392201e4bffff
night,296575,148,75,239,6.523,8939220f03bffff>8939220f007ffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff>8939220f69bffff>8939220a96fffff>8939220a963ffff>8939220a973ffff>8939220a947ffff>8939220a957ffff
night,296575,148,76,239,3.98,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff>8939220f44fffff
night,296575,148,77,238,7.239,8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff
night,296575,148,78,238,6.936,8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0dbffff>8939220f6afffff>8939220f6a7ffff>8939220f0dbffff>8939220f637ffff>8939220f627ffff>8939220f62fffff>8939220f297ffff>8939220f283ffff>8939220f28fffff>8939220f213ffff>8939220f21bffff>8939220f257ffff>8939220f247ffff>8939220f27bffff>8939220f26bffff>8939220d4d3ffff
night,296575,148,79,238,5.068,8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e257ffff>8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff>8939220e26bffff>8939220c4d3ffff>8939220c4dbffff>8939220f137ffff>8939220f123ffff>8939220f127ffff>8939220f12fffff
night,296575,148,80,238,3.644,8939220f03bffff>8939220f007ffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f44fffff
night,296575,148,81,237,5.099,8939220f023ffff>8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1cbffff>8939220f1c3ffff>8939220f1cfffff>8939220f1c3ffff>8939220f1c7ffff>8939220f1d7ffff>8939220f19bffff
night,296575,148,82,237,4.725,8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff>8939220e24fffff>8939220e247ffff>8939220e243ffff>8939220e253ffff>8939220f527ffff
night,296575,148,83,236,7.577,8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f403ffff>8939220f407ffff>8939220f4abffff>8939220f4afffff>8939220f5dbffff>8939220f5c3ffff>8939220f5c7ffff>8939220f513ffff>8939220f517ffff>8939220f5abffff>8939220f533ffff>8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e243ffff>8939220e247ffff>8939220e24fffff>8939220e27bffff
night,296575,148,84,236,5.448,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0c3ffff>8939220f0d3ffff>8939220f6a7ffff>8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff>8939220f40bffff
night,296575,148,85,236,4.366,8939220f03bffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f55bffff>8939220f543ffff>8939220f553ffff>8939220f5cbffff>8939220f437ffff
night,296575,148,86,236,3.983,8939220f467ffff>8939220f477ffff>8939220f473ffff>8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220f4cbffff>8939220a937ffff>8939220a9afffff>8939220a9abffff>8939220a9bbffff>8939220a9a3ffff
night,296575,148,87,236,3.617,8939220f083ffff>8939220f097ffff>8939220f083ffff>8939220f09bffff>8939220f093ffff>8939220f467ffff>8939220f477ffff>8939220f473ffff>8939220f447ffff>8939220f457ffff>8939220f453ffff
night,296575,148,88,235,3.638,8939220f02fffff>8939220f02bffff>8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f39bffff>8939220f3d7ffff>8939220f06fffff>8939220f3d3ffff>8939220f06bffff>8939220f07bffff
night,296575,148,89,234,6.203,89392201847ffff>89392201873ffff>8939220180fffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
night,296575,148,90,232,5.446,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a77ffff>89392201a73ffff>89392201a0bffff>89392201a47ffff>89392201a43ffff>89392201a4bffff>8939220a997ffff>8939220a993ffff>8939220ad2fffff>8939220ad2bffff
